user_id,item_id,rating
495,251,2
364,475,4
530,907,1
425,491,5
934,273,5
47,182,5
305,268,5
18,691,3
30,1018,5
327,519,5
377,274,5
536,708,4
406,431,4
188,8,3
160,214,2
219,300,4
392,287,3
552,519,5
404,698,2
180,1383,1
5,538,2
471,420,5
441,627,4
697,967,1
118,327,4
750,479,4
124,48,3
452,1016,3
101,545,3
403,677,4
536,300,2
342,0,5
653,214,4
93,22,5
748,379,3
879,466,4
144,982,1
173,214,5
820,13,4
338,28,3
882,723,4
91,576,3
451,206,4
654,78,5
428,166,3
863,236,4
912,201,4
200,1136,4
824,422,5
84,229,3
143,844,4
551,1361,3
279,175,3
665,199,5
172,331,4
175,296,3
366,218,4
891,476,4
789,281,4
21,180,5
151,409,4
58,366,4
829,150,3
784,885,3
629,863,4
560,173,4
642,6,4
170,905,3
846,1049,3
137,11,5
711,101,4
415,1285,5
288,146,3
576,1290,3
360,1151,2
755,81,3
626,698,1
117,173,5
311,233,5
620,587,3
250,59,4
341,130,5
920,777,3
115,1019,3
306,180,5
867,49,5
415,97,5
857,292,3
62,747,4
32,270,4
591,513,5
278,1179,2
58,601,2
569,304,5
895,764,4
298,854,4
496,392,4
180,1258,1
825,181,4
254,671,2
352,357,1
568,761,3
522,188,5
329,402,5
591,292,5
605,472,4
879,395,2
888,727,3
504,175,4
6,546,3
605,82,5
12,843,1
886,293,5
756,826,3
797,747,5
401,115,3
312,654,4
881,293,4
351,193,3
565,385,1
482,19,2
885,172,5
592,132,4
364,472,4
151,558,1
396,1017,4
296,181,3
913,154,5
853,292,5
243,91,4
174,175,3
243,208,4
338,4,3
477,41,5
457,190,5
569,320,1
435,158,4
885,70,4
653,257,4
155,204,3
290,940,4
48,208,5
150,637,5
446,277,3
531,1209,4
437,180,4
769,324,4
61,61,3
899,428,2
649,132,4
881,32,2
108,179,3
292,210,4
391,1006,5
58,446,5
59,592,5
428,708,4
233,90,5
734,257,4
605,190,5
392,195,4
757,1011,4
845,745,3
343,190,5
335,398,3
406,477,4
494,495,5
915,217,3
445,285,3
199,324,5
619,173,5
930,257,3
221,1266,3
193,482,4
560,523,4
61,131,5
144,110,3
292,1297,3
249,947,3
270,641,5
491,1146,1
863,131,5
888,1261,3
17,715,5
888,123,4
55,221,5
231,49,4
388,727,3
149,99,2
291,196,5
641,1090,4
253,471,3
654,187,3
93,316,5
238,649,5
467,63,5
238,517,3
386,1006,5
895,127,4
334,321,4
636,324,1
308,988,3
697,426,1
11,470,5
261,46,2
233,621,2
757,99,5
938,120,5
275,203,5
513,1073,4
879,292,4
765,229,3
421,247,3
587,1052,3
232,3,3
853,695,2
787,50,4
616,666,2
505,891,1
678,285,5
748,76,3
302,292,4
48,507,3
685,356,5
415,929,3
473,7,5
863,3,4
590,380,4
621,418,4
187,677,3
200,548,3
862,346,2
428,671,2
934,254,4
748,61,3
234,187,4
748,483,5
379,85,4
199,175,5
114,771,4
266,1072,5
599,180,4
529,87,4
124,745,3
926,81,2
628,194,4
618,61,1
896,417,4
206,133,4
586,299,4
415,422,4
397,233,4
746,181,5
720,526,5
335,201,1
428,172,4
9,92,4
177,293,2
644,708,3
904,318,2
459,272,4
668,116,1
526,133,5
266,23,5
576,424,2
145,293,1
199,577,5
845,88,5
899,1131,1
242,731,4
726,198,4
384,479,5
670,809,2
415,386,3
492,750,5
939,791,2
803,195,4
428,738,3
928,317,4
214,167,5
113,614,2
74,107,4
795,678,4
314,45,4
341,377,4
101,264,3
455,1007,4
822,641,4
616,344,1
122,426,3
495,824,3
888,522,4
473,99,5
255,14,5
537,275,1
926,203,4
704,549,2
6,622,3
746,62,3
81,945,2
371,218,5
725,408,3
269,712,5
311,670,5
785,415,4
401,275,5
333,133,5
398,1178,2
150,698,4
863,657,2
523,941,4
247,282,1
313,1164,2
255,369,3
535,53,2
47,356,5
939,473,3
442,322,2
196,325,3
634,301,4
580,474,4
609,97,5
536,748,2
307,855,4
468,655,5
157,658,5
213,19,4
84,629,3
456,366,4
268,513,4
120,735,5
312,202,5
307,506,3
665,759,3
757,19,4
6,518,4
285,88,4
869,652,4
542,82,4
13,918,4
706,482,5
550,229,5
395,99,2
681,174,3
20,990,2
912,98,4
879,347,4
498,7,5
801,196,3
293,930,3
150,490,4
620,239,4
355,330,3
621,1015,3
880,160,3
490,123,5
20,595,3
278,514,3
585,741,3
904,1050,2
557,14,3
9,603,4
705,293,4
748,968,4
424,227,4
781,884,3
221,779,3
378,394,2
732,99,5
641,464,4
926,55,4
95,317,5
311,22,4
188,581,5
661,284,5
473,629,3
320,729,3
853,651,3
847,41,2
715,526,5
820,55,5
118,273,4
378,160,2
41,172,5
635,14,5
404,214,5
814,685,5
134,1216,2
853,49,4
896,322,4
656,301,2
103,677,2
755,29,4
896,471,5
425,753,1
144,1211,2
787,120,4
342,302,4
307,170,4
177,110,4
750,95,4
504,55,1
382,516,5
187,391,5
901,327,3
885,635,3
449,48,5
193,320,3
533,92,1
853,854,4
290,1504,4
268,14,2
275,288,2
513,72,4
467,272,2
581,49,5
434,408,3
393,150,5
877,701,1
775,184,4
48,116,1
424,23,2
734,126,4
794,1412,3
405,941,4
7,6,3
869,195,3
485,294,3
80,185,5
221,225,3
904,470,4
449,384,4
831,242,2
795,432,2
270,140,4
243,275,5
6,505,5
394,215,3
52,180,4
692,707,3
415,198,5
71,88,3
649,162,3
794,741,2
448,1005,4
628,172,5
333,735,3
933,387,3
135,136,5
513,180,4
58,186,5
76,404,3
56,759,2
351,652,3
342,146,4
623,596,3
173,707,5
835,259,2
266,227,5
728,271,4
505,645,4
404,126,5
5,495,4
845,399,1
906,933,4
292,205,4
90,78,5
633,743,5
559,239,3
654,199,4
93,446,4
0,1,3
4,404,3
906,117,4
535,203,4
466,1016,2
220,1015,3
641,722,4
74,474,5
151,779,5
433,120,4
71,503,4
507,203,3
136,747,4
55,167,2
85,299,3
609,672,4
617,150,3
248,788,5
25,124,4
900,519,5
539,24,4
392,88,3
654,371,3
14,932,1
850,160,3
310,191,3
483,194,5
829,431,3
178,330,2
747,709,3
531,749,5
694,886,3
874,287,4
605,748,4
41,495,5
307,632,4
489,122,2
534,130,4
457,292,5
561,143,5
676,289,1
429,522,4
455,185,4
199,61,5
803,701,2
118,339,4
916,404,3
451,203,3
522,1008,5
503,195,4
188,1371,4
513,301,5
62,675,3
532,131,5
785,97,5
416,264,3
12,203,5
275,116,4
359,587,3
641,64,4
296,108,4
542,693,4
649,626,2
315,161,3
814,153,5
922,333,5
560,39,2
749,302,4
302,429,4
502,97,5
163,716,3
346,171,5
844,1591,3
11,201,4
604,596,3
864,846,5
3,326,5
1,279,3
86,476,3
478,81,4
591,1010,4
882,353,4
745,231,3
396,285,4
886,23,5
421,49,4
102,249,4
487,520,3
373,664,4
873,136,4
93,354,2
271,745,3
536,696,2
475,584,1
398,288,4
882,1655,5
279,6,4
63,201,4
338,641,5
69,410,3
396,272,4
448,136,5
492,264,5
443,305,5
907,524,4
93,565,2
698,117,4
889,1064,3
58,610,3
605,88,5
427,342,2
464,179,3
388,395,3
480,317,1
134,580,4
822,182,4
173,1031,3
285,98,4
841,753,1
830,327,3
269,225,4
42,320,3
456,840,4
333,99,5
428,142,3
7,180,4
89,904,4
629,928,4
866,1607,2
552,608,4
433,1151,5
222,251,1
617,496,2
322,650,5
293,327,4
942,1010,2
284,627,2
494,649,5
937,322,3
313,267,5
726,1216,3
468,704,5
313,137,5
541,410,4
644,171,4
302,374,2
733,418,4
649,108,3
62,740,3
389,257,5
201,95,4
638,134,4
649,638,3
605,403,4
828,104,3
587,366,5
888,154,3
896,88,4
42,253,3
795,879,3
806,545,4
64,654,4
304,384,1
882,167,5
536,1010,3
660,195,3
193,280,2
698,595,3
503,239,1
390,497,4
932,86,4
93,400,4
654,1272,2
294,190,5
58,738,4
917,82,4
888,53,3
362,472,4
408,876,2
785,380,3
534,637,4
212,150,5
441,694,5
180,1351,1
185,1082,1
663,804,5
5,22,4
386,23,5
888,677,3
520,832,2
446,97,4
398,236,3
576,549,3
933,1202,5
455,221,2
827,886,4
103,257,3
361,878,5
832,297,5
547,150,1
184,204,3
493,293,4
270,528,4
531,553,4
226,8,3
290,290,5
814,602,3
320,658,4
71,146,5
804,233,5
607,1261,5
566,46,4
915,510,5
325,565,4
641,623,3
732,533,3
424,197,4
200,275,5
477,10,4
103,533,2
933,854,4
268,190,5
576,379,3
433,545,5
93,646,5
797,1075,3
553,575,4
250,1097,3
565,234,3
89,729,5
124,172,5
882,514,5
592,973,2
756,49,4
931,6,4
373,929,2
795,392,4
343,234,3
926,1228,3
287,222,3
136,78,5
5,301,4
681,1187,3
337,305,4
576,227,3
0,63,5
346,199,4
491,317,5
125,326,3
10,596,2
81,173,5
922,339,5
63,237,4
93,1009,4
868,14,1
879,1209,4
144,476,2
534,189,4
757,108,3
794,99,5
416,46,3
496,454,4
628,57,4
42,558,1
540,139,5
828,258,2
48,651,5
869,89,4
296,464,3
483,160,4
342,62,4
647,187,5
6,267,3
453,57,4
730,13,3
513,47,4
670,225,3
513,335,1
41,734,4
532,1085,3
195,284,5
99,343,4
566,524,5
550,530,5
386,407,4
623,271,5
21,995,1
319,32,4
531,945,5
915,692,3
605,440,4
503,755,3
876,327,2
232,827,4
711,780,4
108,257,5
343,296,4
12,888,3
150,1108,4
221,971,2
604,120,1
159,6,3
732,252,3
572,215,4
75,55,5
200,324,5
859,392,2
177,155,2
127,370,1
503,152,3
931,234,2
763,98,4
25,121,1
690,495,5
375,706,4
790,299,5
69,224,3
462,1162,4
663,88,5
532,180,5
794,575,2
452,958,4
915,237,4
916,286,4
847,609,5
408,167,5
912,301,4
406,446,3
135,8,5
143,590,3
393,293,4
243,771,4
41,226,4
670,627,3
71,194,5
307,108,3
269,281,3
343,290,3
822,403,4
668,748,3
129,768,3
233,377,4
208,300,3
289,163,4
657,723,3
238,1055,5
397,167,3
93,695,4
100,287,4
455,264,3
307,524,5
846,734,4
274,134,3
209,464,4
444,299,1
681,720,4
469,282,5
652,692,1
734,285,5
806,1443,3
880,185,3
550,470,5
183,81,3
505,659,3
627,1024,5
773,514,2
561,417,5
832,818,1
359,194,3
726,627,3
404,1028,1
549,595,2
641,1468,4
657,31,3
840,872,4
253,611,3
696,594,4
421,326,3
642,10,4
581,507,4
23,172,5
91,730,4
6,583,4
221,72,4
294,150,4
485,1078,2
235,410,1
157,174,4
327,293,3
681,81,4
875,288,3
63,183,4
601,987,4
862,258,1
550,526,5
213,602,4
590,210,4
746,658,4
108,210,5
295,78,4
491,473,5
153,474,4
795,1056,2
771,325,4
434,151,4
843,552,4
290,974,2
535,51,3
367,636,2
740,565,4
306,1027,4
477,144,1
42,579,3
377,931,2
220,823,3
403,271,4
194,386,4
581,546,4
127,1034,3
876,196,4
304,48,3
888,512,4
861,171,5
292,420,3
483,120,4
769,474,5
187,173,5
304,728,3
535,208,2
434,84,4
103,244,2
143,3,4
57,143,4
880,89,3
886,409,4
194,185,3
726,130,2
665,236,3
56,747,4
917,442,3
372,431,5
393,357,3
607,460,4
737,448,3
829,182,4
144,1072,5
380,49,5
857,514,4
698,977,4
654,91,3
591,1008,3
6,418,3
885,174,4
271,193,5
628,209,5
600,86,4
5,356,4
876,13,5
451,172,4
221,745,5
370,54,4
331,287,5
373,442,5
94,790,3
452,92,2
660,203,5
591,183,5
638,730,2
302,872,3
526,189,4
253,142,4
479,212,5
926,541,2
906,712,5
692,507,2
221,430,4
591,275,5
322,272,4
302,202,5
57,1096,5
444,747,1
713,684,4
926,421,4
194,886,4
743,480,3
824,123,3
29,1006,5
532,422,5
