user_id,item_id,rating
6,584,4
658,835,4
159,217,4
386,983,1
115,757,1
693,47,4
915,229,3
310,7,4
158,865,5
636,273,5
177,509,4
688,470,4
12,361,4
535,93,4
689,66,4
406,641,2
842,473,3
266,134,5
645,348,2
404,698,2
274,225,3
408,1378,3
458,977,2
534,720,3
84,204,4
663,228,3
392,391,4
458,522,4
176,507,4
709,317,4
0,20,1
714,1046,3
214,27,4
808,306,5
0,235,4
609,6,2
91,683,3
861,264,5
907,95,4
377,571,3
214,88,4
845,1208,1
333,6,5
397,660,3
244,257,4
362,385,1
275,468,4
439,922,5
297,22,4
532,935,4
12,557,1
797,390,3
751,903,4
379,173,4
451,1108,2
238,78,3
536,306,3
250,209,4
229,419,5
441,233,4
485,284,5
794,203,3
585,158,4
371,200,2
370,209,4
144,241,5
473,321,4
516,283,2
183,356,5
834,161,5
216,809,3
731,303,5
424,354,3
870,160,5
362,43,3
874,130,4
101,268,2
717,878,2
726,746,2
274,418,3
241,236,4
773,379,2
298,263,2
213,1016,4
296,16,3
540,167,4
795,691,5
229,392,3
186,1118,3
373,456,1
425,167,3
461,894,4
266,67,4
177,330,4
215,314,5
129,133,5
398,81,3
12,88,4
704,545,3
652,1086,2
6,503,5
320,49,4
331,263,3
451,923,5
891,161,4
325,140,3
404,1273,1
388,39,3
715,604,3
167,322,3
228,357,1
405,443,3
180,1332,1
600,200,5
674,530,5
48,819,1
270,486,4
711,485,4
623,311,4
707,346,3
25,249,3
268,392,1
765,738,2
344,8,4
907,526,3
398,272,3
158,627,3
140,1141,1
324,57,3
578,522,3
58,1106,4
304,678,3
275,224,3
272,310,4
706,1106,3
591,353,4
150,110,4
893,24,2
134,55,4
302,874,4
243,1118,5
526,167,5
684,872,2
378,68,4
746,922,5
226,92,5
205,358,1
255,549,5
6,67,4
713,256,3
117,200,5
290,939,3
585,294,3
827,169,3
322,8,4
576,173,5
267,23,2
379,1044,3
938,741,5
94,204,3
129,110,5
888,1151,3
400,285,2
446,1131,3
285,213,1
84,161,2
279,216,3
325,789,1
213,19,4
701,258,3
275,1010,3
329,20,5
668,124,3
270,195,4
567,602,5
200,694,1
98,408,2
372,470,3
171,611,3
6,626,3
67,410,1
536,640,4
193,201,3
547,175,4
428,192,4
48,39,1
813,443,2
858,117,3
222,172,5
91,576,3
58,433,4
248,590,5
637,127,3
485,1085,3
80,725,4
709,886,2
489,457,3
302,505,4
9,370,4
93,580,4
455,479,4
310,844,4
421,446,4
302,63,5
653,274,5
679,149,5
866,97,5
129,742,2
631,80,5
188,177,5
335,49,4
745,522,3
539,248,3
718,8,4
784,994,3
222,251,1
278,823,4
652,1027,2
785,49,4
654,1377,3
838,949,4
748,63,4
157,822,2
302,126,5
229,10,4
763,226,4
462,863,3
591,466,5
324,1139,3
867,555,3
539,627,3
532,46,1
266,93,3
747,117,2
850,1142,5
536,546,1
622,78,5
912,185,3
248,160,3
541,205,2
544,70,5
681,677,1
100,221,3
576,78,4
123,95,4
359,12,3
642,1214,3
275,562,3
292,513,4
806,142,4
13,95,4
885,558,2
869,692,4
886,163,4
641,55,4
765,173,3
234,473,5
786,1433,1
344,1116,4
200,504,3
449,204,4
342,47,3
344,650,4
307,509,3
858,110,4
400,25,3
404,38,1
882,420,5
520,6,3
863,393,3
538,123,4
12,496,5
168,203,3
344,736,3
173,154,4
605,155,4
108,94,4
587,583,3
386,417,3
641,595,5
12,182,4
213,41,5
99,257,4
654,332,2
58,653,4
413,299,4
193,711,3
757,1021,5
377,291,3
633,739,2
275,973,2
372,496,3
518,907,5
147,132,5
428,805,2
750,557,3
420,330,2
536,9,4
335,1445,1
883,126,4
534,151,4
795,392,4
428,91,4
836,221,3
223,324,1
520,420,4
792,843,4
0,192,4
895,965,4
183,477,4
767,312,5
497,190,4
371,233,5
292,769,3
428,528,4
735,295,4
30,885,2
805,121,3
267,1475,2
165,314,3
882,282,4
55,404,4
552,130,5
879,149,4
617,420,3
415,531,3
748,520,4
158,297,5
56,7,4
209,97,5
733,27,4
456,12,3
797,462,3
756,257,5
234,326,3
879,733,3
187,236,3
869,68,4
45,326,4
654,602,4
233,674,4
859,210,3
9,332,4
449,466,4
177,1050,3
137,522,5
704,142,3
278,844,1
795,133,3
825,664,5
87,885,5
359,190,4
751,749,2
866,1153,5
312,134,5
213,511,5
434,195,4
614,190,5
370,49,4
755,859,1
543,269,3
90,422,5
804,90,5
757,628,4
12,820,3
710,93,2
343,95,4
