embedding_dim,num_filters,learning_rate,batch_size,epochs,weight_decay,rmse
20,50,0.001,64,20,0.0,0.9789478010049554
20,50,0.001,64,20,0.01,0.9538171787525904
20,100,0.001,64,20,0.0,0.9882990115533533
20,100,0.001,64,20,0.01,0.9534954851860774
20,50,0.01,64,20,0.0,1.0864920538073208
20,50,0.01,64,20,0.01,1.0051999198811836
20,100,0.01,64,20,0.0,1.1123294978267613
20,100,0.01,64,20,0.01,0.999678470657845
20,50,0.001,64,40,0.0,1.0160915183615196
20,50,0.001,64,40,0.01,0.9520304601889232
20,100,0.001,64,40,0.0,1.0403124526056227
20,100,0.001,64,40,0.01,0.9507783236180378
20,50,0.01,64,40,0.0,1.1274423578587907
20,50,0.01,64,40,0.01,0.9936661702911646
20,100,0.01,64,40,0.0,1.122310762065322
20,100,0.01,64,40,0.01,0.9965709366057011
20,50,0.001,64,80,0.0,1.1108688183034403
20,50,0.001,64,80,0.01,0.9517877922761349
20,100,0.001,64,80,0.0,1.1306631283633481
20,100,0.001,64,80,0.01,0.9522622690870092
20,50,0.01,64,80,0.0,1.186640830178406
20,50,0.01,64,80,0.01,0.9978606167836275
20,100,0.01,64,80,0.0,1.1725349094098607
20,100,0.01,64,80,0.01,0.992586731376102
20,50,0.001,64,160,0.0,1.1890683107572477
20,50,0.001,64,160,0.01,0.9545375799911155
20,100,0.001,64,160,0.0,1.2346468276090823
20,100,0.001,64,160,0.01,0.9517197176838027
20,50,0.01,64,160,0.0,1.1907111970232294
20,50,0.01,64,160,0.01,0.9941571127492963
20,100,0.01,64,160,0.0,1.1916053980747
20,100,0.01,64,160,0.01,0.9950493217589012
30,50,0.001,64,20,0.0,1.0010902898427085
30,50,0.001,64,20,0.01,0.958639887140158
30,100,0.001,64,20,0.0,1.0042350022950777
30,100,0.001,64,20,0.01,0.952053562230286
30,50,0.01,64,20,0.0,1.0982816821694592
30,50,0.01,64,20,0.01,1.0069783625243212
30,100,0.01,64,20,0.0,1.0998307813185197
30,100,0.01,64,20,0.01,0.9975191875036885
30,50,0.001,64,40,0.0,1.0560766043910077
30,50,0.001,64,40,0.01,0.9526927780949135
30,100,0.001,64,40,0.0,1.0764803850944535
30,100,0.001,64,40,0.01,0.9506987975579495
30,50,0.01,64,40,0.0,1.1345497227982504
30,50,0.01,64,40,0.01,0.9957123269231708
30,100,0.01,64,40,0.0,1.1351694252000433
30,100,0.01,64,40,0.01,0.9961457482023813
30,50,0.001,64,80,0.0,1.1412524757483746
30,50,0.001,64,80,0.01,0.951850695885249
30,100,0.001,64,80,0.0,1.2079602465751547
30,100,0.001,64,80,0.01,0.9517676271730635
30,50,0.01,64,80,0.0,1.175806900707797
30,50,0.01,64,80,0.01,1.003862966353964
30,100,0.01,64,80,0.0,1.1744554211344058
30,100,0.01,64,80,0.01,0.9936984414694873
30,50,0.001,64,160,0.0,1.247557303769514
30,50,0.001,64,160,0.01,0.952130877993132
30,100,0.001,64,160,0.0,1.2879002735909237
30,100,0.001,64,160,0.01,0.9524562240413244
30,50,0.01,64,160,0.0,1.2097373675802106
30,50,0.01,64,160,0.01,0.998201690431561
30,100,0.01,64,160,0.0,1.2038906683089852
30,100,0.01,64,160,0.01,0.9982176632705819
60,50,0.001,64,20,0.0,1.0490013846105524
60,50,0.001,64,20,0.01,0.9547969973839355
60,100,0.001,64,20,0.0,1.0724070304642999
60,100,0.001,64,20,0.01,0.953258598845101
60,50,0.01,64,20,0.0,1.1069835084515502
60,50,0.01,64,20,0.01,0.9936805065016181
60,100,0.01,64,20,0.0,1.0893984195820323
60,100,0.01,64,20,0.01,1.0055246333173582
60,50,0.001,64,40,0.0,1.1456457446894892
60,50,0.001,64,40,0.01,0.9515810170744406
60,100,0.001,64,40,0.0,1.1745797542063263
60,100,0.001,64,40,0.01,0.9518317532248772
60,50,0.01,64,40,0.0,1.1343819105710218
60,50,0.01,64,40,0.01,0.9994997919262759
60,100,0.01,64,40,0.0,1.1390419517306767
60,100,0.01,64,40,0.01,0.990223118945672
60,50,0.001,64,80,0.0,1.2442798865930906
60,50,0.001,64,80,0.01,0.9522069355527593
60,100,0.001,64,80,0.0,1.2837658813742254
60,100,0.001,64,80,0.01,0.952269185552717
60,50,0.01,64,80,0.0,1.1591674495523434
60,50,0.01,64,80,0.01,0.9987191401501486
60,100,0.01,64,80,0.0,1.1555484499213617
60,100,0.01,64,80,0.01,0.995479529003152
60,50,0.001,64,160,0.0,1.3658318037839514
60,50,0.001,64,160,0.01,0.9518784986445451
60,100,0.001,64,160,0.0,1.3604171090857977
60,100,0.001,64,160,0.01,0.9520023175139228
60,50,0.01,64,160,0.0,1.1954061434098564
60,50,0.01,64,160,0.01,0.9999566366807372
60,100,0.01,64,160,0.0,1.1717274890883558
60,100,0.01,64,160,0.01,1.0012845491313458
20,50,0.001,128,20,0.0,0.9714303008132255
20,50,0.001,128,20,0.01,0.9520977926234494
20,100,0.001,128,20,0.0,0.9692791754793896
20,100,0.001,128,20,0.01,0.960098303341387
20,50,0.01,128,20,0.0,1.0684077445453262
20,50,0.01,128,20,0.01,0.9906123717071724
20,100,0.01,128,20,0.0,1.075806765229512
20,100,0.01,128,20,0.01,0.9847181418447483
20,50,0.001,128,40,0.0,1.0017835090541052
20,50,0.001,128,40,0.01,0.9504397039758531
20,100,0.001,128,40,0.0,1.0247340834331475
20,100,0.001,128,40,0.01,0.9504548176175914
20,50,0.01,128,40,0.0,1.12636721501715
20,50,0.01,128,40,0.01,0.9856234611058966
20,100,0.01,128,40,0.0,1.1409603305309686
20,100,0.01,128,40,0.01,0.9867673896647045
20,50,0.001,128,80,0.0,1.0726203817995643
20,50,0.001,128,80,0.01,0.9498186452829585
20,100,0.001,128,80,0.0,1.1109940440707562
20,100,0.001,128,80,0.01,0.9503933581568893
20,50,0.01,128,80,0.0,1.1874917180625826
20,50,0.01,128,80,0.01,0.9839735877826484
20,100,0.01,128,80,0.0,1.1768134266228067
20,100,0.01,128,80,0.01,0.9819732612477345
20,50,0.001,128,160,0.0,1.1747880967792828
20,50,0.001,128,160,0.01,0.9497544774459286
20,100,0.001,128,160,0.0,1.2115823812873034
20,100,0.001,128,160,0.01,0.949577201069114
20,50,0.01,128,160,0.0,1.207206836755908
20,50,0.01,128,160,0.01,0.9861500494318064
20,100,0.01,128,160,0.0,1.2060430734669796
20,100,0.01,128,160,0.01,0.9857174937717289
30,50,0.001,128,20,0.0,0.9813106007905953
30,50,0.001,128,20,0.01,0.9512307150812067
30,100,0.001,128,20,0.0,0.9831618447744627
30,100,0.001,128,20,0.01,0.9514230322144719
30,50,0.01,128,20,0.0,1.0978920028396655
30,50,0.01,128,20,0.01,0.9830068738702863
30,100,0.01,128,20,0.0,1.116116737535936
30,100,0.01,128,20,0.01,0.9913761997102609
30,50,0.001,128,40,0.0,1.039122271431982
30,50,0.001,128,40,0.01,0.9527450492107654
30,100,0.001,128,40,0.0,1.0552172990263038
30,100,0.001,128,40,0.01,0.9503805640550846
30,50,0.01,128,40,0.0,1.1577348196557935
30,50,0.01,128,40,0.01,0.9843411818250752
30,100,0.01,128,40,0.0,1.160256635131144
30,100,0.01,128,40,0.01,0.9863892186950096
30,50,0.001,128,80,0.0,1.1128775952354009
30,50,0.001,128,80,0.01,0.9495208950083857
30,100,0.001,128,80,0.0,1.1646978705261526
30,100,0.001,128,80,0.01,0.9501922074176045
30,50,0.01,128,80,0.0,1.2230233320847437
30,50,0.01,128,80,0.01,0.9882482289463176
30,100,0.01,128,80,0.0,1.2061664730267072
30,100,0.01,128,80,0.01,0.982792081150761
30,50,0.001,128,160,0.0,1.2551743699329039
30,50,0.001,128,160,0.01,0.948735369141037
30,100,0.001,128,160,0.0,1.2745669919916274
30,100,0.001,128,160,0.01,0.9497759718008558
30,50,0.01,128,160,0.0,1.2668803076687
30,50,0.01,128,160,0.01,0.9838891116886999
30,100,0.01,128,160,0.0,1.272482906219246
30,100,0.01,128,160,0.01,0.9858131801859481
60,50,0.001,128,20,0.0,1.0134078253378216
60,50,0.001,128,20,0.01,0.9527319738804338
60,100,0.001,128,20,0.0,1.0481288859341398
60,100,0.001,128,20,0.01,0.9522898407621424
60,50,0.01,128,20,0.0,1.1181132075976352
60,50,0.01,128,20,0.01,0.9914985427403286
60,100,0.01,128,20,0.0,1.1170721994936275
60,100,0.01,128,20,0.01,0.9906824065220631
60,50,0.001,128,40,0.0,1.1192093273864863
60,50,0.001,128,40,0.01,0.9505442403062513
60,100,0.001,128,40,0.0,1.1550206530982712
60,100,0.001,128,40,0.01,0.9496721668267124
60,50,0.01,128,40,0.0,1.1915692327365703
60,50,0.01,128,40,0.01,0.985399076830364
60,100,0.01,128,40,0.0,1.1818069719236426
60,100,0.01,128,40,0.01,0.987284100748987
60,50,0.001,128,80,0.0,1.2238686981927247
60,50,0.001,128,80,0.01,0.9500332387329499
60,100,0.001,128,80,0.0,1.2801623496272643
60,100,0.001,128,80,0.01,0.9514522570059705
60,50,0.01,128,80,0.0,1.2126976265058098
60,50,0.01,128,80,0.01,0.9826291057217983
60,100,0.01,128,80,0.0,1.1692622750131212
60,100,0.01,128,80,0.01,0.9850163565405579
60,50,0.001,128,160,0.0,1.328143086029773
60,50,0.001,128,160,0.01,0.9516449678010483
60,100,0.001,128,160,0.0,1.3695686748676874
60,100,0.001,128,160,0.01,0.9520527170435302
60,50,0.01,128,160,0.0,1.2293239051118727
60,50,0.01,128,160,0.01,0.9881062710825065
60,100,0.01,128,160,0.0,1.1739197757124014
60,100,0.01,128,160,0.01,0.9883837137895936
