embedding_dim,hidden_dims,learning_rate,epochs,weight_decay,batch_size,rmse
10,"[62, 32]",0.001,20,0.001,1024,1.0140316716050177
10,"[62, 32]",0.001,20,0.0001,1024,0.9892389233547227
10,"[62, 32]",0.01,20,0.001,1024,0.9405885999866765
10,"[62, 32]",0.01,20,0.0001,1024,0.9797157952756679
10,"[62, 32]",0.1,20,0.001,1024,0.992369717663786
10,"[62, 32]",0.1,20,0.0001,1024,0.9430982966905473
10,"[128, 64, 32]",0.001,20,0.001,1024,0.9918522906813525
10,"[128, 64, 32]",0.001,20,0.0001,1024,0.9830344927354397
10,"[128, 64, 32]",0.01,20,0.001,1024,0.9402774041809161
10,"[128, 64, 32]",0.01,20,0.0001,1024,0.9806993980704601
10,"[128, 64, 32]",0.1,20,0.001,1024,0.9910710879733999
10,"[128, 64, 32]",0.1,20,0.0001,1024,1.1259766683719052
10,"[62, 32]",0.001,50,0.001,1024,0.9459565545926937
10,"[62, 32]",0.001,50,0.0001,1024,0.959576488050283
10,"[62, 32]",0.01,50,0.001,1024,0.941458609616759
10,"[62, 32]",0.01,50,0.0001,1024,1.037190292276484
10,"[62, 32]",0.1,50,0.001,1024,0.9952879095707807
10,"[62, 32]",0.1,50,0.0001,1024,0.9438781891219417
10,"[128, 64, 32]",0.001,50,0.001,1024,0.959273657897995
10,"[128, 64, 32]",0.001,50,0.0001,1024,0.961684766055861
10,"[128, 64, 32]",0.01,50,0.001,1024,0.9407939581716765
10,"[128, 64, 32]",0.01,50,0.0001,1024,1.0537191395975085
10,"[128, 64, 32]",0.1,50,0.001,1024,0.9853711613047166
10,"[128, 64, 32]",0.1,50,0.0001,1024,1.125961475651718
10,"[62, 32]",0.001,100,0.001,1024,0.9982155435253459
10,"[62, 32]",0.001,100,0.0001,1024,0.9981953012243867
10,"[62, 32]",0.01,100,0.001,1024,0.954837854660879
10,"[62, 32]",0.01,100,0.0001,1024,1.0719814236582914
10,"[62, 32]",0.1,100,0.001,1024,1.0083382587995635
10,"[62, 32]",0.1,100,0.0001,1024,0.9491087610389625
10,"[128, 64, 32]",0.001,100,0.001,1024,1.0529441836743845
10,"[128, 64, 32]",0.001,100,0.0001,1024,1.0562147597353775
10,"[128, 64, 32]",0.01,100,0.001,1024,0.9681025156324746
10,"[128, 64, 32]",0.01,100,0.0001,1024,1.0817767232931377
10,"[128, 64, 32]",0.1,100,0.001,1024,1.0000582916436325
10,"[128, 64, 32]",0.1,100,0.0001,1024,0.9429950840013829
20,"[62, 32]",0.001,20,0.001,1024,0.9946366367404849
20,"[62, 32]",0.001,20,0.0001,1024,0.9723986855321871
20,"[62, 32]",0.01,20,0.001,1024,0.9458647131790886
20,"[62, 32]",0.01,20,0.0001,1024,1.0316763487830405
20,"[62, 32]",0.1,20,0.001,1024,0.9888410528241618
20,"[62, 32]",0.1,20,0.0001,1024,0.9471723058294287
20,"[128, 64, 32]",0.001,20,0.001,1024,0.98862125744933
20,"[128, 64, 32]",0.001,20,0.0001,1024,0.9701833273496805
20,"[128, 64, 32]",0.01,20,0.001,1024,0.9467075867159211
20,"[128, 64, 32]",0.01,20,0.0001,1024,1.035966031011033
20,"[128, 64, 32]",0.1,20,0.001,1024,0.98637643827953
20,"[128, 64, 32]",0.1,20,0.0001,1024,1.1260536875452218
20,"[62, 32]",0.001,50,0.001,1024,0.9484833745529946
20,"[62, 32]",0.001,50,0.0001,1024,0.9672593985165275
20,"[62, 32]",0.01,50,0.001,1024,0.9446300218304046
20,"[62, 32]",0.01,50,0.0001,1024,1.106752277293511
20,"[62, 32]",0.1,50,0.001,1024,0.9886444087981695
20,"[62, 32]",0.1,50,0.0001,1024,0.9706279027027123
20,"[128, 64, 32]",0.001,50,0.001,1024,1.0073532122508855
20,"[128, 64, 32]",0.001,50,0.0001,1024,1.004252155247513
20,"[128, 64, 32]",0.01,50,0.001,1024,0.9507887928521672
20,"[128, 64, 32]",0.01,50,0.0001,1024,1.1067902447363303
20,"[128, 64, 32]",0.1,50,0.001,1024,0.9967589606788152
20,"[128, 64, 32]",0.1,50,0.0001,1024,1.12813311967543
20,"[62, 32]",0.001,100,0.001,1024,1.0491302452906204
20,"[62, 32]",0.001,100,0.0001,1024,1.0775478310822024
20,"[62, 32]",0.01,100,0.001,1024,0.957396892842673
20,"[62, 32]",0.01,100,0.0001,1024,1.1271707466811616
20,"[62, 32]",0.1,100,0.001,1024,0.9897548560350757
20,"[62, 32]",0.1,100,0.0001,1024,0.9631568896480667
20,"[128, 64, 32]",0.001,100,0.001,1024,1.1502469398907202
20,"[128, 64, 32]",0.001,100,0.0001,1024,1.1488460410964052
20,"[128, 64, 32]",0.01,100,0.001,1024,0.9475853449247396
20,"[128, 64, 32]",0.01,100,0.0001,1024,1.151296417675676
20,"[128, 64, 32]",0.1,100,0.001,1024,0.9876004614611475
20,"[128, 64, 32]",0.1,100,0.0001,1024,1.1260491882882293
30,"[62, 32]",0.001,20,0.001,1024,0.9982366810652186
30,"[62, 32]",0.001,20,0.0001,1024,0.9722649580024831
30,"[62, 32]",0.01,20,0.001,1024,0.9330343062624212
30,"[62, 32]",0.01,20,0.0001,1024,1.0508566903753647
30,"[62, 32]",0.1,20,0.001,1024,0.9909195495153759
30,"[62, 32]",0.1,20,0.0001,1024,0.9495423004928545
30,"[128, 64, 32]",0.001,20,0.001,1024,0.9905949825708935
30,"[128, 64, 32]",0.001,20,0.0001,1024,0.9681289281697676
30,"[128, 64, 32]",0.01,20,0.001,1024,0.9377714082129701
30,"[128, 64, 32]",0.01,20,0.0001,1024,1.0539751260815506
