embedding_dim,learning_rate,weight_decay,epochs,batch_size,rmse
40,0.001,0.001,100,1024,1.276511571608323
40,0.001,0.0001,100,1024,2.3226520290650767
40,0.001,0.001,100,1024,1.2985614703658528
40,0.001,0.0001,100,1024,2.2834525775633514
40,0.001,0.001,500,1024,1.1388175439326687
40,0.001,0.0001,500,1024,1.0858767375824556
40,0.001,0.001,500,1024,1.138537652560339
40,0.001,0.0001,500,1024,1.0906150576949893
40,0.001,0.001,800,1024,1.1384505879699323
40,0.001,0.0001,800,1024,1.093587481822355
40,0.001,0.001,800,1024,1.1383682814651463
40,0.001,0.0001,800,1024,1.0875438637492343
80,0.001,0.001,100,1024,1.6146257538503925
80,0.001,0.0001,100,1024,4.269253148465046
80,0.001,0.001,100,1024,1.613281767247004
80,0.001,0.0001,100,1024,4.2608168335556655
80,0.001,0.001,500,1024,1.1384625250604878
80,0.001,0.0001,500,1024,1.0135875512479422
80,0.001,0.001,500,1024,1.138631829789379
80,0.001,0.0001,500,1024,1.017748095471955
80,0.001,0.001,800,1024,1.1385608965804894
80,0.001,0.0001,800,1024,1.0090513082375667
80,0.001,0.001,800,1024,1.1385494840352992
80,0.001,0.0001,800,1024,1.0090641263427103
160,0.001,0.001,100,1024,2.73298854010057
160,0.001,0.0001,100,1024,7.819605655337133
160,0.001,0.001,100,1024,2.616497347348715
160,0.001,0.0001,100,1024,7.849956108991052
160,0.001,0.001,500,1024,1.1390908780638
160,0.001,0.0001,500,1024,0.9821059096186239
160,0.001,0.001,500,1024,1.1389799928021567
160,0.001,0.0001,500,1024,0.9818028040907466
160,0.001,0.001,800,1024,1.1384804304616432
160,0.001,0.0001,800,1024,0.9829535439206031
160,0.001,0.001,800,1024,1.1385951858789953
160,0.001,0.0001,800,1024,0.9831511140084591
