embedding_dim,learning_rate,weight_decay,epochs,batch_size,rmse
40,0.001,0.001,100,1024,1.0001391671618012
40,0.001,0.0001,100,1024,1.0290593084847095
40,0.01,0.001,100,1024,0.9587211791559539
40,0.01,0.0001,100,1024,1.2060403058511202
40,0.001,0.001,500,1024,0.9577793233828995
40,0.001,0.0001,500,1024,1.3494281122622183
40,0.01,0.001,500,1024,0.9762910999824321
40,0.01,0.0001,500,1024,1.2421124513615474
40,0.001,0.001,800,1024,0.9434396144948123
40,0.001,0.0001,800,1024,1.355206950736996
40,0.01,0.001,800,1024,0.9744462543735589
40,0.01,0.0001,800,1024,1.242096519737199
80,0.001,0.001,100,1024,1.0234068072426803
80,0.001,0.0001,100,1024,1.3252014294949095
80,0.01,0.001,100,1024,0.9783650965844298
80,0.01,0.0001,100,1024,1.1753491085957062
80,0.001,0.001,500,1024,0.9407168194639141
80,0.001,0.0001,500,1024,1.1731862679254996
80,0.01,0.001,500,1024,0.9551388461853326
80,0.01,0.0001,500,1024,1.1333220815567517
80,0.001,0.001,800,1024,0.940300414646994
80,0.001,0.0001,800,1024,1.1661545560486997
80,0.01,0.001,800,1024,0.9792759847828425
80,0.01,0.0001,800,1024,1.1527998199551432
160,0.001,0.001,100,1024,1.013859843501413
160,0.001,0.0001,100,1024,1.9510957475842787
160,0.01,0.001,100,1024,0.971120548875919
160,0.01,0.0001,100,1024,1.1558526877222381
160,0.001,0.001,500,1024,0.9472819847975174
160,0.001,0.0001,500,1024,1.1234963753119322
160,0.01,0.001,500,1024,0.9596720481033553
160,0.01,0.0001,500,1024,1.1231987095900131
160,0.001,0.001,800,1024,0.9440962162708496
160,0.001,0.0001,800,1024,1.1360462204905848
160,0.01,0.001,800,1024,0.9775274163618506
160,0.01,0.0001,800,1024,1.1368643546169634
