latent_factors,learning_rate,epochs,batch_size,weight_decay,rmse
15,0.01,50,1024,0.001,4.4126918588916135
15,0.01,50,1024,0.01,4.4126918588916135
15,0.001,50,1024,0.001,4.412687536474304
15,0.001,50,1024,0.01,4.4126918588916135
50,0.01,50,1024,0.001,4.4126918588916135
50,0.01,50,1024,0.01,4.4126918588916135
50,0.001,50,1024,0.001,4.412692291133111
50,0.001,50,1024,0.01,4.4126918588916135
15,0.01,100,1024,0.001,4.4126918588916135
15,0.01,100,1024,0.01,4.4126918588916135
15,0.001,100,1024,0.001,4.412689913804348
15,0.001,100,1024,0.01,4.4126918588916135
50,0.01,100,1024,0.001,4.412692507253844
50,0.01,100,1024,0.01,4.4126918588916135
50,0.001,100,1024,0.001,4.412687320353328
50,0.001,100,1024,0.01,4.4126918588916135
15,0.01,500,1024,0.001,4.4126918588916135
15,0.01,500,1024,0.01,4.4126918588916135
15,0.001,500,1024,0.001,4.412691426650073
15,0.001,500,1024,0.01,4.4126918588916135
50,0.01,500,1024,0.001,4.412692291133111
50,0.01,500,1024,0.01,4.4126918588916135
50,0.001,500,1024,0.001,4.412683430173939
50,0.001,500,1024,0.01,4.4126918588916135
15,0.01,800,1024,0.001,4.412692075012368
15,0.01,800,1024,0.01,4.4126918588916135
15,0.001,800,1024,0.001,4.412688833199941
15,0.001,800,1024,0.01,4.4126918588916135
50,0.01,800,1024,0.001,4.4126918588916135
50,0.01,800,1024,0.01,4.4126918588916135
50,0.001,800,1024,0.001,4.412689697683488
50,0.001,800,1024,0.01,4.4126918588916135
